,a1 x,a1 y,a1 lenSum,a1 sd,a1 rt,a2 x,a2 y,a2 lenSum,a2 sd,a2 rt,a3 x,a3 y,a3 lenSum,a3 sd,a3 rt,a4 x,a4 y,a4 lenSum,a4 sd,a4 rt
1096,24752.280701754386,21383.157894736843,1123352.5788759133,6448.353318850172,4.6253204345703125e-05,24752.280701754386,21383.157894736843,1123352.5788759133,6448.353318850172,0.0008289813995361328,23007.4506562392,20669.2046763174,1118037.98501265,6985.82888984157,12.12033200263977,24221.902022659175,22577.416045835154,1126185.4748125272,6428.63734335157,0.0013270378112792969
1097,26384.684210526317,23497.859649122805,1221045.362479435,6615.021080200299,2.8848648071289062e-05,26384.684210526317,23497.859649122805,1221045.362479435,6615.021080200299,0.0005197525024414062,26929.5537575484,23183.1227372543,1220747.31987632,6661.71453714543,7.165349960327148,26845.318038320678,23726.899661809133,1220943.9564467086,6640.735260010806,0.0013740062713623047
1098,22724.263157894737,26796.263157894737,1095815.7410482538,7274.51939486341,6.031990051269531e-05,22724.263157894737,26796.263157894737,1095815.7410482538,7274.51939486341,0.0018069744110107422,21728.6950460884,27806.5294446459,1094304.21195804,7479.92871783614,7.132251739501953,22945.701737546355,26634.504178067527,1096444.9713890138,7250.466237459597,0.0013167858123779297
1099,26501.543859649122,28593.736842105263,1039411.7364331099,7473.384896879039,2.8848648071289062e-05,26501.543859649122,28593.736842105263,1039411.7364331099,7473.384896879039,0.0005409717559814453,25208.3006478271,30761.2252023362,1032178.53342558,8175.20139797381,5.2306718826293945,26921.37370542141,27768.343273413528,1044707.8734172484,7301.488015090935,0.001277923583984375
1100,21663.08620689655,23092.55172413793,1149265.8558943477,6003.08698393024,3.0040740966796875e-05,21663.08620689655,23092.55172413793,1149265.8558943477,6003.08698393024,0.000553131103515625,22230.9832772073,23456.9826051715,1148745.10809037,6070.26381601018,5.523503065109253,21528.36881756168,23235.0188571402,1149361.0525231315,6000.870851603069,0.0013201236724853516
1101,25254.0,23495.724137931036,1104591.873257321,7650.636792912317,2.8848648071289062e-05,25254.0,23495.724137931036,1104591.873257321,7650.636792912317,0.00055694580078125,23791.8258293980,23656.4625998835,1100880.76315034,7945.38073666545,5.8029279708862305,25174.78268564853,23809.16544019998,1104422.1624056806,7664.737894536625,0.0013089179992675781
1102,25048.896551724138,28544.48275862069,1063061.5489280554,7571.594493447963,2.9802322387695312e-05,25048.896551724138,28544.48275862069,1063061.5489280554,7571.594493447963,0.0005507469177246094,23020.2570584263,29554.3405328047,1056921.61363272,8144.54441476198,6.354110956192017,26570.4721153783,28270.14973894322,1073431.8253345601,7289.257788149927,0.0013480186462402344
1103,27742.103448275862,28415.293103448275,1075164.0240827599,6628.671673444845,3.0040740966796875e-05,27742.103448275862,28415.293103448275,1075164.0240827599,6628.671673444845,0.0005462169647216797,30766.3690144761,29768.6490502003,1066347.48755613,7780.07848957476,6.721588850021362,27416.853091170982,29157.238417640678,1075650.9664430046,6654.639447790273,0.001302957534790039
1104,21919.05172413793,23111.05172413793,1161636.624751897,6459.611448600505,2.6702880859375e-05,21919.05172413793,23111.05172413793,1161636.624751897,6459.611448600505,0.0007801055908203125,21170.5083509886,21650.0668219701,1157515.21771972,6874.78615589544,5.074890851974487,22654.192652761758,24124.361800149814,1168306.970095418,6218.830647704647,0.0012590885162353516
1105,24131.620689655174,27217.0,1002661.4017988478,7453.897982532229,2.8848648071289062e-05,24131.620689655174,27217.0,1002661.4017988478,7453.897982532229,0.0006089210510253906,24520.3380766789,26759.2413100255,1001931.57712464,7507.07257927573,5.435803174972534,24403.16142703911,27598.85929085709,1003645.8833769773,7429.198882468493,0.0012919902801513672
